group,image_path,source_category,file_title,url,mime,width,height,bytes
characters,dataset/images\characters\60142cb9baa4351692d32c553052d5cc7336560e.png,Category:Abigail images,File:Abigail Winter 02.png,https://stardewvalleywiki.com/mediawiki/images/b/b3/Abigail_Winter_02.png,image/png,128,128,1552
characters,dataset/images\characters\52532f4a10b08ed0bfc7d636f31dcbe4d8b1e093.png,Category:Abigail images,File:Abigail Beach Neutral.png,https://stardewvalleywiki.com/mediawiki/images/4/47/Abigail_Beach_Neutral.png,image/png,128,128,4231
characters,dataset/images\characters\4bed497558b72d3c46ba2bf338df77ca9d980bd9.png,Category:NPC images,File:Alex's Mum.png,https://stardewvalleywiki.com/mediawiki/images/5/51/Alex%27s_Mum.png,image/png,220,240,4382
characters,dataset/images\characters\63b48595b9e3ead05efca314c0059df667d7c559.png,Category:Abigail images,File:Abigail Winter 01.png,https://stardewvalleywiki.com/mediawiki/images/8/83/Abigail_Winter_01.png,image/png,128,128,1512
characters,dataset/images\characters\fd8fce907978e029640804c319124fa2c75bd3dc.png,Category:Alex images,File:Alex Winter 09.png,https://stardewvalleywiki.com/mediawiki/images/f/f9/Alex_Winter_09.png,image/png,128,128,1613
characters,dataset/images\characters\49d6550514ea5a7b2ebb9397850eb58ad66564b7.png,Category:Alex images,File:Alex Winter 00.png,https://stardewvalleywiki.com/mediawiki/images/e/ee/Alex_Winter_00.png,image/png,128,128,1598
characters,dataset/images\characters\006a5481e37776b219392ae6de99354417f857a4.png,Category:Abigail images,File:Abigail Beach Happy.png,https://stardewvalleywiki.com/mediawiki/images/4/49/Abigail_Beach_Happy.png,image/png,128,128,1387
characters,dataset/images\characters\7eb4109011e3d7e1329a5d5e8168c4daa10ba8b6.png,Category:Abigail images,File:Abigail Winter 00.png,https://stardewvalleywiki.com/mediawiki/images/4/4a/Abigail_Winter_00.png,image/png,128,128,1548
characters,dataset/images\characters\5c8bc0ee8920898c810d89ab4606e8375567998f.png,Category:Alex images,File:Alex Winter 05.png,https://stardewvalleywiki.com/mediawiki/images/9/95/Alex_Winter_05.png,image/png,128,128,1594
characters,dataset/images\characters\f335a62b688c2b881d4ad304811b8fcd0f41f300.png,Category:Birdie images,File:Birdie.png,https://stardewvalleywiki.com/mediawiki/images/4/46/Birdie.png,image/png,128,128,1743
characters,dataset/images\characters\0a820c2d64cce297ebd9192f5c5ca12564469088.png,Category:Alex images,File:Alex Winter 04.png,https://stardewvalleywiki.com/mediawiki/images/2/24/Alex_Winter_04.png,image/png,128,128,1616
characters,dataset/images\characters\4abd556df5c2b353f746e8a322c2939d635b1d7a.png,Category:Alex images,File:Alex Surprised.png,https://stardewvalleywiki.com/mediawiki/images/d/d6/Alex_Surprised.png,image/png,128,132,1727
characters,dataset/images\characters\53113c48590d73df9c00f84e60933afe85979948.png,Category:Alex images,File:Alex Spouse Room.png,https://stardewvalleywiki.com/mediawiki/images/0/0a/Alex_Spouse_Room.png,image/png,192,288,3469
