image_path,source_category,file_title,url,orig_mime,orig_width,orig_height,orig_bytes
dataset/images_48\464091128801232588.png,Category:Springobjects images,File:Fireworks (Green).png,https://stardewvalleywiki.com/mediawiki/images/a/a2/Fireworks_%28Green%29.png,image/png,48,48,324
dataset/images_48\-6122832291715661710.png,Category:Springobjects images,File:Springobjects019.png,https://stardewvalleywiki.com/mediawiki/images/a/a5/Springobjects019.png,image/png,48,48,332
dataset/images_48\1983378036971326194.png,Category:Springobjects images,File:Springobjects089.png,https://stardewvalleywiki.com/mediawiki/images/8/82/Springobjects089.png,image/png,48,48,334
dataset/images_48\846765027738991569.png,Category:Springobjects images,File:Springobjects047.png,https://stardewvalleywiki.com/mediawiki/images/8/89/Springobjects047.png,image/png,48,48,312
dataset/images_48\813920104889445283.png,Category:Springobjects images,File:Springobjects041.png,https://stardewvalleywiki.com/mediawiki/images/d/d6/Springobjects041.png,image/png,48,48,280
dataset/images_48\-6695750156247458183.png,Category:Springobjects images,File:Springobjects057.png,https://stardewvalleywiki.com/mediawiki/images/4/42/Springobjects057.png,image/png,48,48,286
dataset/images_48\-81462846605738489.png,Category:Springobjects images,File:Springobjects029.png,https://stardewvalleywiki.com/mediawiki/images/c/c7/Springobjects029.png,image/png,48,48,284
dataset/images_48\-2718263289330589549.png,Category:Springobjects images,File:Springobjects021.png,https://stardewvalleywiki.com/mediawiki/images/d/dc/Springobjects021.png,image/png,48,48,344
dataset/images_48\6254310813043287738.png,Category:Springobjects images,File:Springobjects067.png,https://stardewvalleywiki.com/mediawiki/images/c/c9/Springobjects067.png,image/png,48,48,304
dataset/images_48\4512326638057609070.png,Category:Springobjects images,File:Springobjects005.png,https://stardewvalleywiki.com/mediawiki/images/c/ce/Springobjects005.png,image/png,48,48,312
dataset/images_48\5459977973997697649.png,Category:Springobjects images,File:Springobjects045.png,https://stardewvalleywiki.com/mediawiki/images/f/ff/Springobjects045.png,image/png,48,48,282
dataset/images_48\-1458893306420883485.png,Category:Springobjects images,File:Springobjects017.png,https://stardewvalleywiki.com/mediawiki/images/4/4d/Springobjects017.png,image/png,48,48,346
dataset/images_48\5697840285506223122.png,Category:Springobjects images,File:Secret Heart.png,https://stardewvalleywiki.com/mediawiki/images/5/59/Secret_Heart.png,image/png,48,48,262
dataset/images_48\-4640809964559657141.png,Category:Springobjects images,File:Springobjects087.png,https://stardewvalleywiki.com/mediawiki/images/1/19/Springobjects087.png,image/png,48,48,239
dataset/images_48\-519357913925285994.png,Category:Springobjects images,File:Springobjects011.png,https://stardewvalleywiki.com/mediawiki/images/1/14/Springobjects011.png,image/png,48,48,326
dataset/images_48\-7651633561927624790.png,Category:Springobjects images,File:Springobjects000.png,https://stardewvalleywiki.com/mediawiki/images/5/54/Springobjects000.png,image/png,48,48,330
dataset/images_48\-4860518382876984013.png,Category:Springobjects images,File:Springobjects003.png,https://stardewvalleywiki.com/mediawiki/images/7/7d/Springobjects003.png,image/png,48,48,263
dataset/images_48\4168550236682408456.png,Category:Springobjects images,File:Springobjects001.png,https://stardewvalleywiki.com/mediawiki/images/9/90/Springobjects001.png,image/png,48,48,290
dataset/images_48\-808472750243273540.png,Category:Springobjects images,File:Springobjects055.png,https://stardewvalleywiki.com/mediawiki/images/3/34/Springobjects055.png,image/png,48,48,277
dataset/images_48\-3677669623840653782.png,Category:Springobjects images,File:Springobjects028.png,https://stardewvalleywiki.com/mediawiki/images/f/f1/Springobjects028.png,image/png,48,48,238
dataset/images_48\549312126276651931.png,Category:Springobjects images,File:Springobjects043.png,https://stardewvalleywiki.com/mediawiki/images/f/fe/Springobjects043.png,image/png,48,48,282
dataset/images_48\6774240953944968529.png,Category:Springobjects images,File:Springobjects065.png,https://stardewvalleywiki.com/mediawiki/images/1/15/Springobjects065.png,image/png,48,48,287
dataset/images_48\3272792799980028551.png,Category:Springobjects images,File:Springobjects039.png,https://stardewvalleywiki.com/mediawiki/images/0/0f/Springobjects039.png,image/png,48,48,277
dataset/images_48\1458186715868480047.png,Category:Springobjects images,File:Springobjects037.png,https://stardewvalleywiki.com/mediawiki/images/b/bb/Springobjects037.png,image/png,48,48,293
dataset/images_48\-408035448108581391.png,Category:Springobjects images,File:Springobjects015.png,https://stardewvalleywiki.com/mediawiki/images/a/ac/Springobjects015.png,image/png,48,48,303
dataset/images_48\5414823024355634862.png,Category:Springobjects images,File:Springobjects085.png,https://stardewvalleywiki.com/mediawiki/images/2/2d/Springobjects085.png,image/png,48,48,257
dataset/images_48\-2015913233926832571.png,Category:Springobjects images,File:Fireworks (Purple).png,https://stardewvalleywiki.com/mediawiki/images/7/7e/Fireworks_%28Purple%29.png,image/png,48,48,324
dataset/images_48\265223057078181541.png,Category:Springobjects images,File:Springobjects007.png,https://stardewvalleywiki.com/mediawiki/images/b/be/Springobjects007.png,image/png,48,48,273
dataset/images_48\-7592635544438895954.png,Category:Springobjects images,File:Springobjects027.png,https://stardewvalleywiki.com/mediawiki/images/7/72/Springobjects027.png,image/png,48,48,212
dataset/images_48\1846233178829401125.png,Category:Springobjects images,File:Springobjects053.png,https://stardewvalleywiki.com/mediawiki/images/c/c9/Springobjects053.png,image/png,48,48,297
dataset/images_48\993936206476239987.png,Category:Springobjects images,File:Springobjects063.png,https://stardewvalleywiki.com/mediawiki/images/9/9b/Springobjects063.png,image/png,48,48,281
dataset/images_48\9100739310694622198.png,Category:Springobjects images,File:Springobjects035.png,https://stardewvalleywiki.com/mediawiki/images/1/18/Springobjects035.png,image/png,48,48,301
dataset/images_48\3109122973209464173.png,Category:Springobjects images,File:Springobjects013.png,https://stardewvalleywiki.com/mediawiki/images/d/db/Springobjects013.png,image/png,48,48,300
dataset/images_48\-921832885772929202.png,Category:Springobjects images,File:Springobjects083.png,https://stardewvalleywiki.com/mediawiki/images/6/6b/Springobjects083.png,image/png,48,48,290
dataset/images_48\-1259400876919472111.png,Category:Springobjects images,File:Springobjects071.png,https://stardewvalleywiki.com/mediawiki/images/e/e7/Springobjects071.png,image/png,48,48,365
dataset/images_48\869668782302218497.png,Category:Springobjects images,File:Springobjects026.png,https://stardewvalleywiki.com/mediawiki/images/4/4c/Springobjects026.png,image/png,48,48,283
dataset/images_48\-6081519124046570828.png,Category:Springobjects images,File:Springobjects051.png,https://stardewvalleywiki.com/mediawiki/images/2/29/Springobjects051.png,image/png,48,48,277
dataset/images_48\5757112716810623562.png,Category:Springobjects images,File:Springobjects061.png,https://stardewvalleywiki.com/mediawiki/images/6/6d/Springobjects061.png,image/png,48,48,286
dataset/images_48\-4657564035884434854.png,Category:Springobjects images,File:Springobjects033.png,https://stardewvalleywiki.com/mediawiki/images/8/8c/Springobjects033.png,image/png,48,48,280
dataset/images_48\3392389472591520839.png,Category:Springobjects images,File:Fireworks (Red).png,https://stardewvalleywiki.com/mediawiki/images/8/8f/Fireworks_%28Red%29.png,image/png,48,48,324
dataset/images_48\2882843159667157468.png,Category:Springobjects images,File:Springobjects049.png,https://stardewvalleywiki.com/mediawiki/images/2/29/Springobjects049.png,image/png,48,48,280
dataset/images_48\3962250010965825418.png,Category:Springobjects images,File:Springobjects009.png,https://stardewvalleywiki.com/mediawiki/images/7/76/Springobjects009.png,image/png,48,48,298
dataset/images_48\-8537418049638698810.png,Category:Springobjects images,File:Springobjects059.png,https://stardewvalleywiki.com/mediawiki/images/f/f4/Springobjects059.png,image/png,48,48,283
dataset/images_48\-6175246224733942729.png,Category:Springobjects images,File:Springobjects030.png,https://stardewvalleywiki.com/mediawiki/images/1/1a/Springobjects030.png,image/png,48,48,230
dataset/images_48\6740666933824511141.png,Category:Springobjects images,File:Springobjects094.png,https://stardewvalleywiki.com/mediawiki/images/c/c1/Springobjects094.png,image/png,48,48,379
